federated_main_per.py --model=perceiver-io-linstyle --dataset=fmnist --iid=1 --epochs=10 --optimizer=adam --lr=5e-4 --frac=1.0 --num_users=10 --local_bs=64 --local_ep=5 --test_no=1 --k=128

Global round : 1
[Client 1] local_loss: 1.9617, local_acc: 25.22%
[Client 6] local_loss: 1.6760, local_acc: 37.73%
[Client 5] local_loss: 1.7852, local_acc: 36.41%
[Client 8] local_loss: 1.6824, local_acc: 38.22%
[Client 7] local_loss: 1.9205, local_acc: 28.05%
[Client 3] local_loss: 1.6962, local_acc: 38.09%
[Client 4] local_loss: 1.6449, local_acc: 40.74%
[Client 0] local_loss: 1.9119, local_acc: 30.46%
[Client 9] local_loss: 1.8013, local_acc: 35.79%
[Client 2] local_loss: 1.4520, local_acc: 45.59%
[Average] local_loss: 1.7532, local_acc: 35.63%

Global round : 2
[Client 4] local_loss: 1.1286, local_acc: 58.59%
[Client 0] local_loss: 1.2751, local_acc: 52.63%
[Client 1] local_loss: 1.8071, local_acc: 30.92%
[Client 6] local_loss: 1.0223, local_acc: 62.07%
[Client 5] local_loss: 1.0151, local_acc: 65.42%
[Client 3] local_loss: 0.9275, local_acc: 66.36%
[Client 9] local_loss: 1.1182, local_acc: 59.43%
[Client 8] local_loss: 1.0591, local_acc: 60.70%
[Client 7] local_loss: 1.0718, local_acc: 61.50%
[Client 2] local_loss: 0.8965, local_acc: 68.17%
[Average] local_loss: 1.1321, local_acc: 58.58%

Global round : 3
[Client 9] local_loss: 0.8084, local_acc: 71.04%
[Client 7] local_loss: 0.7380, local_acc: 75.32%
[Client 3] local_loss: 0.6934, local_acc: 75.74%
[Client 4] local_loss: 0.9172, local_acc: 66.79%
[Client 6] local_loss: 0.7735, local_acc: 73.00%
[Client 2] local_loss: 0.6426, local_acc: 78.72%
[Client 5] local_loss: 0.7524, local_acc: 74.83%
[Client 0] local_loss: 0.9932, local_acc: 63.57%
[Client 8] local_loss: 0.7869, local_acc: 72.10%
[Client 1] local_loss: 1.7453, local_acc: 33.60%
[Average] local_loss: 0.8851, local_acc: 68.47%

Global round : 4
[Client 9] local_loss: 0.6481, local_acc: 77.51%
[Client 0] local_loss: 0.8261, local_acc: 70.96%
[Client 6] local_loss: 0.5924, local_acc: 80.62%
[Client 1] local_loss: 1.7036, local_acc: 35.26%
[Client 7] local_loss: 0.5719, local_acc: 81.23%
[Client 3] local_loss: 0.5321, local_acc: 82.38%
[Client 2] local_loss: 0.5053, local_acc: 83.58%
[Client 8] local_loss: 0.6109, local_acc: 79.40%
[Client 5] local_loss: 0.6031, local_acc: 80.21%
[Client 4] local_loss: 0.7559, local_acc: 73.28%
[Average] local_loss: 0.7349, local_acc: 74.44%

Global round : 5
[Client 3] local_loss: 0.4133, local_acc: 86.79%
[Client 6] local_loss: 0.4643, local_acc: 85.96%
[Client 0] local_loss: 0.7040, local_acc: 76.05%
[Client 7] local_loss: 0.4524, local_acc: 85.58%
[Client 1] local_loss: 1.6765, local_acc: 36.28%
[Client 8] local_loss: 0.4751, local_acc: 84.68%
[Client 4] local_loss: 0.6374, local_acc: 78.41%
[Client 2] local_loss: 0.4151, local_acc: 86.98%
